aDGlc	a-D-Glucopyranose 
aD6dTalOMe	Methyl 6-deoxy-a-D-talopyranoside 
aMurNAc	
bMurNAc	
aisoMurNAc	
bisoMurNAc	
aDGlc46PyEOMe	Methyl a-D-glucoside, (S)-4,6-carboxyethylidene 
bDGlc46PyEOMe	Methyl b-D-glucoside, (S)-4,6-carboxyethylidene 
aDGal46PyEOMe	Methyl a-D-galactoside, (R)-4,6-carboxyethylidene 
bDGal46PyEOMe	Methyl b-D-galactoside, (R)-4,6-carboxyethylidene 
aDMan46PyEOMe	Methyl a-D-mannoside, (S)-4,6-carboxyethylidene 
bDMan46PyEOMe	Methyl b-D-mannoside, (S)-4,6-carboxyethylidene 
aDGlc46PyAOMe	Methyl a-D-glucoside, (R)-4,6-carboxyethylidene 
aDGal46PyAOMe	Methyl a-D-galactoside, (S)-4,6-carboxyethylidene 
bDMan46PyAOMe	Methyl b-D-mannoside, (R)-4,6-carboxyethylidene 
RLac	(R)-1-carboxyethyl 
SLac	(S)-1-carboxyethyl 
aDIdo	a-D-Idopyranose 
bDIdo	b-D-Idopyranose 
aPar	a-Paratose (3,6-Dideoxy-D-ribo-hexose) 
bPar	b-Paratose (3,6-Dideoxy-D-ribo-hexose) 
aAbe	a-Abequose (3,6-Dideoxy-D-xylo-hexose) 
bAbe	b-Abequose (3,6-Dideoxy-D-xylo-hexose) 
aCol	a-Colitose (3,6-Dideoxy-L-xylo-hexose) 
bCol	b-Colitose (3,6-Dideoxy-L-xylo-hexose) 
aTyv	a-Tyvelose (3,6-Dideoxy-D-arabino-hexose) 
bTyv	b-Tyvelose (3,6-Dideoxy-D-arabino-hexose) 
aAsc	a-Ascarylose (3,6-Dideoxy-L-arabino-hexose) 
bAsc	b-Ascarylose (3,6-Dideoxy-L-arabino-hexose) 
aDGulNAcOMe	
aDTalNAcOMe	
aD6dTal2,4NAc	
bD6dTal2,4NAc	
LGly-aDGal9ddn5,7NAc	
LGly-bDGal9ddn5,7NAc	
LGly-aDTal9ddn5,7NAc	
LGly-bDTal9ddn5,7NAc	
DGly-aLAlt9ddn5,7NAc	
DGly-bLAlt9ddn5,7NAc	
DGly-aLMan9ddn5,7NAc	
DGly-aDGal9ddn5,7NAc	
DGly-bDGal9ddn5,7NAc	
DGly-aDTal9ddn5,7NAc	
DGly-bDTal9ddn5,7NAc	
LGly-aLAlt9ddn5,7NAc	
LGly-bLAlt9ddn5,7NAc	
LGly-aLMan9ddn5,7NAc	
LGly-bLMan9ddn5,7NAc	
LGly-aLGlu9ddn5,7NAc	
LGly-bLGlu9ddn5,7NAc	
aDRha4NOMe	
aDRha4N	
cis_aDRha4NFoOMe	
cis_aDRha4NFo	
trans_aDRha4NFoOMe	
trans_aDRha4NFo	
aDRha4NAcOMe	
aDRha4NAc	
bNeu5Ac	5-N-acetyl-b-neuraminic acid 
aNeu5Ac	5-N-acetyl-a-neuraminic acid 

Three amino acids (reducing end in N- and O-glycans):
Asn	asparagine
Ser	serine 
Thr	threonine 

Substituents:
Ac	O-Acetyl substituent 
P	Phosphate 
SO3	Sulfate 
Me	Methyl substituent 
